timepoint,temp,embryo,well,pheno_note,tag
30,34C,HF4-30-HF4-30hpf-34C_P9_G12,G12,severe,30-34C-G12
30,34C,HF4-30-HF4-30hpf-34C_P9_G10,G10,severe,30-34C-G10
36,34C,HF4-36-HF4-36hpf-34C_P12_E11,E11,severe,36-34C-E11
30,34C,HF4-30-HF4-30hpf-34C_P9_E12,E12,severe,30-34C-E12
24,34C,HF4-24-HF4-24hpf-34C_P2_B9,B9,norm,24-34C-B9
36,32C,HF4-36-HF4-36hpf-32C_P12_H4,H4,norm,36-32C-H4
24,32C,HF4-24-HF4-24hpf-32C_P2_A5,A5,severe,24-32C-A5
30,34C,HF4-30-HF4-30hpf-34C_P9_C8,C8,norm,30-34C-C8
36,34C,HF4-36-HF4-36hpf-34C_P12_A11,A11,severe,36-34C-A11
30,32C,HF4-30-HF4-30hpf-32C_P9_A3,A3,norm,30-32C-A3
24,32C,HF4-24-HF4-24hpf-32C_P2_H6,H6,severe,24-32C-H6
36,34C,HF4-36-HF4-36hpf-34C_P12_B10,B10,norm,36-34C-B10
24,32C,HF4-24-HF4-24hpf-32C_P2_G7,G7,norm,24-32C-G7
36,34C,HF4-36-HF4-36hpf-34C_P12_D12,D12,severe,36-34C-D12
36,32C,HF4-36-HF4-36hpf-32C_P12_D7,D7,severe,36-32C-D7
24,32C,HF4-24-HF4-24hpf-32C_P2_F6,F6,severe,24-32C-F6
24,34C,HF4-24-HF4-24hpf-34C_P2_A8,A8,norm,24-34C-A8
30,32C,HF4-30-HF4-30hpf-32C_P9_B3,B3,norm,30-32C-B3
36,34C,HF4-36-HF4-36hpf-34C_P12_C10,C10,norm,36-34C-C10
36,34C,HF4-36-HF4-36hpf-34C_P12_D10,D10,norm,36-34C-D10
36,32C,HF4-36-HF4-36hpf-32C_P12_F3,F3,norm,36-32C-F3
36,32C,HF4-36-HF4-36hpf-32C_P12_H6,H6,severe,36-32C-H6
36,32C,HF4-36-HF4-36hpf-32C_P12_E3,E3,norm,36-32C-E3
24,32C,HF4-24-HF4-24hpf-32C_P2_C3,C3,norm,24-32C-C3
36,32C,HF4-36-HF4-36hpf-32C_P12_F5,F5,severe,36-32C-F5
24,34C,HF4-24-HF4-24hpf-34C_P2_G8,G8,norm,24-34C-G8
30,34C,HF4-30-HF4-30hpf-34C_P9_C9,C9,norm,30-34C-C9
30,32C,HF4-30-HF4-30hpf-32C_P9_B6,B6,severe,30-32C-B6
24,34C,HF4-24-HF4-24hpf-34C_P2_C9,C9,norm,24-34C-C9
24,32C,HF4-24-HF4-24hpf-32C_P2_B5,B5,severe,24-32C-B5
24,34C,HF4-24-HF4-24hpf-34C_P2_H12,H12,severe,24-34C-H12
36,34C,HF4-36-HF4-36hpf-34C_P12_F10,F10,severe,36-34C-F10
24,32C,HF4-24-HF4-24hpf-32C_P2_G3,G3,norm,24-32C-G3
30,34C,HF4-30-HF4-30hpf-34C_P9_A12,A12,severe,30-34C-A12
30,34C,HF4-30-HF4-30hpf-34C_P9_B10,B10,norm,30-34C-B10
24,32C,HF4-24-HF4-24hpf-32C_P2_H4,H4,norm,24-32C-H4
36,34C,HF4-36-HF4-36hpf-34C_P12_E12,E12,severe,36-34C-E12
24,32C,HF4-24-HF4-24hpf-32C_P2_E7,E7,norm,24-32C-E7
30,32C,HF4-30-HF4-30hpf-32C_P9_F3,F3,norm,30-32C-F3
24,34C,HF4-24-HF4-24hpf-34C_P2_A9,A9,norm,24-34C-A9
30,34C,HF4-30-HF4-30hpf-34C_P9_C10,C10,norm,30-34C-C10
30,34C,HF4-30-HF4-30hpf-34C_P9_D10,D10,norm,30-34C-D10
30,34C,HF4-30-HF4-30hpf-34C_P9_E10,E10,severe,30-34C-E10
